来源类别,序号,岗位名称,岗位职责,日常工作内容,工作强度,是否经常加班,工作环境,晋升方向,常见单位,考试专业科目,考试内容,推荐指数,一句话总结,原始标题
管理技术岗,049,护师/主管护师（手术室护理方向）,负责术前准备、术中器械配合、无菌管理、术后器械清点及手术安全保障。,准备手术器械、配合医生完成手术、清点器械敷料、维护无菌环境、整理手术记录。,★★★★☆,★★★★★ 手术时间不固定，急诊手术和夜间手术需随时到岗。,,手术室护士 → 专科护士 → 护士长。,军队医院、专科医院。,护理学(96)。,,★★★★★,专业技术要求高，责任重大，是护理热门方向之一。,049 护师/主管护师（手术室护理方向）
管理技术岗,050,护师/护士（门诊护理方向）,负责门诊患者分诊、护理操作、健康宣教及门诊秩序维护。,分诊导诊、输液、抽血、健康咨询、预约管理、协助医生接诊。,★★★☆☆,★★☆☆☆ 以白班为主，急诊门诊除外，整体工作规律。,,门诊护士 → 门诊护士长 → 护理管理岗位。,军队医院、门诊部、疗养院。,护理学(150)。,,★★★★★,护理岗位中工作规律较好，是不少考生关注的方向。,050 护师/护士（门诊护理方向）
管理技术岗,051,护师/主管护师（老干部护理方向）,负责离退休干部及老年患者的医疗护理、慢病管理、健康监测及生活照护。,健康巡诊、慢病护理、用药管理、康复指导、健康档案维护、定期体检。,★★★☆☆,★★☆☆☆ 夜班相对较少，整体工作节奏较平稳。,,老干部护理 → 护师 → 护理管理岗位。,干休所、军队疗养院、军队医院老干部病房。,护理学(19)。,,★★★★★,工作稳定、压力相对较小，是护理专业较受欢迎的岗位。,051 护师/主管护师（老干部护理方向）
管理技术岗,052,护师/主管护师（康复护理方向）,负责康复患者护理、功能训练配合、康复评估及健康指导。,协助康复训练、护理评估、康复指导、观察患者恢复情况、记录康复数据。,★★★☆☆,★★☆☆☆ 一般实行白班，夜班较少。,,康复护士 → 康复护理负责人 → 护理管理岗位。,康复中心、疗养院、军队医院。,护理学(47)。,,★★★★☆,工作节奏较平稳，适合喜欢长期护理管理工作的考生。,052 护师/主管护师（康复护理方向）
管理技术岗,053,护师/护士（助产方向）,负责孕产妇产程观察、分娩接生、新生儿护理及产后健康指导。,观察产程、协助分娩、新生儿护理、产后随访、孕产妇健康宣教、值班接产。,★★★★★,★★★★★ 实行24小时轮班，分娩时间不可预测，夜班和值班较多。,,助产士 → 主管助产士 → 护士长 → 护理管理岗位。,军队医院、妇产专科医院。,护理学(74)。,,★★★★☆,专业性强，责任重大，对心理素质和应急能力要求较高。,053 护师/护士（助产方向）
管理技术岗,054,讲师,承担课程教学、实验指导、科研及学生日常培养工作，是军队院校招聘数量最多的教师岗位。,备课授课、批改作业、指导实验、组织考试、参与科研项目、学生答疑。,★★★☆☆,★★★☆☆ 考试周、科研项目和教材编写期间工作增加。,,讲师 → 高级专业技术岗位（以单位职称评审和岗位设置为准）。,军队院校、士官学校、训练基地。,免笔试(3629)、数学2+物理(2028)、数学1(1444)、教育学(1347)、管理学(244)。,,★★★★★,教学科研类招聘最多的岗位之一，适合硕士、博士报考。,054 讲师
管理技术岗,055,助教,协助教师完成教学、实验、课程建设及学生管理工作。,实验准备、课堂辅助、答疑辅导、考试组织、资料整理、教学资源建设。,★★★☆☆,★★☆☆☆ 整体工作规律，考试期间稍忙。,,助教 → 讲师 → 高级专业技术岗位（以单位职称评审和岗位设置为准）。,军队院校、士官学校。,数学2+物理(1556)、数学1(1259)、教育学(1009)、管理学(210)、免笔试(200)。,,★★★★☆,青年教师起步岗位，适合应届硕士、博士。,055 助教
管理技术岗,056,助理实验师/实验师（实验教学或实验室管理方向）,负责实验室建设、实验设备管理、实验教学保障及实验安全管理。,准备实验器材、维护实验设备、指导学生实验、记录实验数据、采购实验耗材。,★★★☆☆,★★☆☆☆ 科研实验集中时工作量增加。,,实验员→高级实验师→实验中心负责人。,军队院校、科研院所、医学实验中心。,免笔试(171)、数学2+物理(169)、数学1(67)、数学3+化学(25)、临床医学(20)。,,★★★★☆,实践性较强，适合理工科专业毕业生。,056 助理实验师/实验师（实验教学或实验室管理方向）
管理技术岗,057,助理馆员/馆员（图书馆方向）,负责图书资源建设、文献检索、数字资源管理、读者服务及档案文献整理。,图书编目、借阅管理、数据库维护、文献检索、数字资源建设、阅读推广。,★★☆☆☆,★☆☆☆☆ 基本实行行政班，节假日值班较少。,,馆员→副研究馆员→研究馆员→图书馆负责人。,军队院校、科研院所、军事图书馆。,图书(78)、数学1(35)、管理学(17)、免笔试(8)、数学2+物理(7)。,,★★★★★,工作稳定，加班少，是文职中公认工作节奏较平稳的岗位之一。,057 助理馆员/馆员（图书馆方向）
管理技术岗,058,助教/助理工程师（教育技术方向）,负责智慧教学平台建设、在线课程开发、多媒体教学保障及教育信息化建设。,维护教学平台、录制课程、制作课件、保障远程教学、维护教学设备。,★★★☆☆,★★★☆☆ 开学、考试及大型培训期间较忙。,,教育技术工程师→教育信息化负责人→教育管理岗位。,军队院校、训练基地、教育中心。,教育学(55)、数学1(24)、数学2+物理(19)、管理学(13)、免笔试(6)。,,★★★★☆,教育与信息技术结合，近年来需求持续增长。,058 助教/助理工程师（教育技术方向）
管理技术岗,059,助理编辑/编辑,负责教材、学术期刊、科研成果、内部刊物及宣传资料的编辑出版工作。,稿件审核、文字编辑、校对排版、出版协调、组稿策划、学术资料整理。,★★★☆☆,★★★☆☆ 教材出版、期刊发行期间工作量增加。,,编辑→责任编辑→编辑部主任→出版管理岗位。,军队院校、科研院所、出版社、学报编辑部。,新闻(310)、出版(168)、数学1(21)、英语(15)、汉语言文学(10)。,,★★★★☆,适合文字功底扎实、细致严谨的考生。,059 助理编辑/编辑
管理技术岗,060,助理工程师/工程师（软件工程方向）,负责军队业务系统、管理平台、信息系统及应用软件的开发、升级、测试和维护，保障各类软件系统安全稳定运行。,需求分析、程序开发、系统测试、Bug修复、数据库维护、接口开发、编写技术文档、参与项目评审和系统上线。,★★★★☆,★★★★☆ 系统上线、版本升级、重大保障任务期间加班较多，平时实行正常工作制。 工作环境： 办公室办公，长期使用电脑，部分岗位涉及机房测试。,,助理工程师 → 工程师 → 高级工程师 → 技术负责人。,信息支援部队、军委机关、科研院所、军事院校、联勤保障部队信息中心。,数学1(2565)、数学2+物理(737)、免笔试(381)、管理学(38)、艺术基础综合(26)。,,★★★★★,计算机专业最热门岗位之一，招聘数量多，发展前景广。,060 助理工程师/工程师（软件工程方向）
管理技术岗,061,助理工程师/工程师（网络工程方向）,负责军队网络架构建设、网络设备部署、网络运行维护及网络故障处理。,交换机、路由器配置，网络巡检，服务器维护，网络优化，故障排查，网络安全整改。,★★★★☆,★★★★☆ 网络割接、设备升级、重大演训和应急保障期间工作量增加。 工作环境： 办公室、网络机房及通信机房。,,网络工程师 → 网络平台主管 → 信息中心负责人。,信息支援部队、通信部队、科研院所、军队院校。,数学1(1131)、数学2+物理(286)、免笔试(33)、管理学(6)、档案(1)。,,★★★★★,网络建设与维护核心岗位，招聘稳定，需求持续增长。,061 助理工程师/工程师（网络工程方向）
管理技术岗,062,助理工程师/工程师（网络安全方向）,负责网络安全防护、安全监测、漏洞扫描、风险评估、安全加固及应急处置。,安全巡检、日志分析、漏洞修复、安全设备维护、渗透测试配合、安全事件响应。,★★★★★,★★★★☆ 重大活动、网络安全保障、应急响应期间工作压力较大。 工作环境： 办公室、网络安全监测中心。,,网络安全工程师 → 安全平台主管 → 网络安全负责人。,信息支援部队、科研院所、军委机关、各军兵种信息部门。,数学1(283)、数学2+物理(41)、免笔试(40)、英语(1)、法学(1)。,,★★★★★,近几年增长最快的热门岗位之一，对专业能力要求较高。,062 助理工程师/工程师（网络安全方向）
管理技术岗,063,助理工程师/工程师（大数据方向）,负责数据平台建设、数据治理、数据分析、数据挖掘及数据可视化，为业务决策提供数据支持。,数据库管理、数据清洗、数据建模、统计分析、报表开发、数据接口维护。,★★★★☆,★★★☆☆ 项目建设和数据集中分析阶段工作较忙。 工作环境： 办公室办公，以计算机操作为主。,,大数据工程师 → 数据平台主管 → 数据中心负责人。,科研院所、信息支援部队、军队院校、机关信息中心。,数学1(553)、数学2+物理(178)、免笔试(88)、档案(5)、管理学(3)。,,★★★★★,数据分析方向热门岗位，发展潜力较大。,063 助理工程师/工程师（大数据方向）
管理技术岗,064,助理工程师/工程师（人工智能方向）,负责人工智能算法研究、智能系统开发、机器学习模型训练及智能装备应用研究。,算法开发、模型训练、数据处理、系统优化、科研项目研究、论文及技术报告编写。,★★★★☆,★★★★☆ 科研攻关、项目验收期间工作较忙。 工作环境： 科研实验室、办公室。,,人工智能工程师 → 高级工程师 → 科研负责人。,军事科学院、科研院所、信息支援部队、军队院校。,数学1(178)、数学2+物理(94)、免笔试(82)、档案(1)、管理学(1)。,,★★★★★,新兴重点发展方向，高学历岗位占比较高。,064 助理工程师/工程师（人工智能方向）
管理技术岗,065,助理工程师/工程师（通信工程方向）,负责通信网络建设、通信设备维护、通信系统规划及通信保障。,通信设备安装调试、线路维护、网络优化、故障排查、通信保障演练。,★★★★☆,★★★★☆ 重大通信保障任务和演训期间工作量增加。 工作环境： 办公室、通信机房、通信站。,,通信工程师 → 通信负责人 → 通信保障管理岗位。,信息支援部队、通信部队、军队院校、科研院所。,数学1(2924)、数学2+物理(965)、免笔试(510)、管理学(7)、档案(2)。,,★★★★★,传统热门专业，岗位覆盖军队多个单位。,065 助理工程师/工程师（通信工程方向）
管理技术岗,066,助理工程师/工程师（光电工程方向）,负责光电设备研发、维护、检测及技术保障，参与光学仪器和光电系统建设。,设备检测、性能测试、光电系统维护、数据分析、技术改进。,★★★★☆,★★★☆☆ 科研项目和装备保障期间较忙。 工作环境： 实验室、设备保障中心。,,光电工程师 → 高级工程师 → 技术负责人。,科研院所、装备保障单位、军队院校。,数学2+物理(137)、数学1(87)、免笔试(61)、管理学(2)。,,★★★★☆,专业性较强，主要面向光电类专业考生。,066 助理工程师/工程师（光电工程方向）
管理技术岗,067,助理工程师/工程师（雷达工程方向）,负责雷达系统维护、性能测试、技术改进及雷达设备保障。,设备调试、雷达检测、故障维修、数据分析、技术保障、演训保障。,★★★★☆,★★★★☆ 演训、战备和重大保障任务期间工作强度较高。 工作环境： 雷达站、实验室、装备保障单位。,,雷达工程师 → 高级工程师 → 雷达技术负责人。,空军、海军、信息支援部队、科研院所。,数学2+物理(23)、免笔试(20)、数学1(13)、管理学(1)。,,★★★★☆,专业方向明确，适合电子信息及雷达专业毕业生。,067 助理工程师/工程师（雷达工程方向）
管理技术岗,068,助理工程师/工程师（装备工程方向）,负责武器装备、技术装备及配套设备的管理、维护、升级改造、技术保障和全寿命周期管理，为部队装备正常运行提供技术支持。,制定装备保障计划、组织装备验收、分析装备故障、协调维修单位、建立装备技术档案、开展技术培训、参与装备试验及性能评估。,★★★★☆,★★★★☆ 新装备列装、演训保障、重大任务期间工作量明显增加。 工作环境： 办公室、装备保障中心、维修车间、装备库房。,,助理工程师 → 工程师 → 高级工程师 → 装备技术负责人。,装备发展部门、各军兵种装备保障单位、科研院所、军队院校。,数学2+物理(1230)、数学1(633)、免笔试(177)、数学3+化学(34)、管理学(32)。,,★★★★★,军队装备保障核心岗位，需求稳定，发展空间较大。,068 助理工程师/工程师（装备工程方向）
管理技术岗,069,助理工程师/工程师（军械工程方向）,负责武器装备维护、弹药技术保障、军械检测、维修管理及技术改进。,检查武器装备状态、组织维修保养、技术检测、军械台账管理、参与装备保障演练。,★★★★☆,★★★★☆ 演训和装备保障期间工作较忙。 工作环境： 装备保障单位、军械仓库、维修中心。,,军械工程师 → 高级工程师 → 军械技术负责人。,陆军、武警部队（如有招录）、装备保障单位、科研院所。,数学2+物理(933)、数学1(278)、免笔试(167)、数学3+化学(66)、管理学(3)。,,★★★★☆,偏装备保障方向，适合机械、兵器相关专业考生。,069 助理工程师/工程师（军械工程方向）
管理技术岗,070,助理工程师/工程师（航空装备方向）,负责航空装备技术保障、维修管理、性能检测、故障分析及技术改进。,飞机保障、技术检测、维修协调、数据分析、装备状态监控、技术资料整理。,★★★★★,★★★★★ 飞行保障、重大演训期间工作节奏快，加班较多。 工作环境： 机场、维修车间、装备保障基地。,,航空装备工程师 → 高级工程师 → 航空装备技术负责人。,空军部队、航空保障单位、科研院所。,数学2+物理(463)、数学1(230)、免笔试(160)、数学3+化学(3)、英语(1)。,,★★★★★,航空类热门岗位，专业性强，对口专业要求严格。,070 助理工程师/工程师（航空装备方向）
管理技术岗,071,助理工程师/工程师（船舶装备方向）,负责舰艇装备、动力系统及船舶设备维护管理，保障舰艇装备正常运行。,设备巡检、维修保障、性能检测、技术改造、故障分析、装备档案管理。,★★★★☆,★★★★☆ 舰艇保障和海上任务期间工作较忙。 工作环境： 码头、舰艇保障基地、维修车间。,,船舶装备工程师 → 高级工程师 → 舰艇装备负责人。,海军保障单位、船舶科研院所。,数学2+物理(198)、免笔试(76)、数学1(56)、数学3+化学(1)。,,★★★★☆,海军特色岗位，主要面向船舶类专业毕业生。,071 助理工程师/工程师（船舶装备方向）
管理技术岗,072,助理工程师/工程师（土木工程方向）,负责营区基础设施建设、工程设计、施工管理、工程质量监督及技术审核。,施工现场管理、工程验收、图纸审核、工程预算、质量检查、协调施工单位。,★★★★☆,★★★☆☆ 工程建设高峰期工作较忙。 工作环境： 办公室与施工现场相结合。,,土木工程师 → 高级工程师 → 工程建设负责人。,联勤保障部队、营房建设单位、军队院校。,数学2+物理(695)、数学1(274)、免笔试(45)、管理学(25)、数学3+化学(3)。,,★★★★★,招聘数量较多，是土木专业主要报考方向。,072 助理工程师/工程师（土木工程方向）
管理技术岗,073,助理工程师/工程师（建筑工程方向）,负责建筑规划、建筑设计审核、工程建设管理及建筑技术支持。,审核设计方案、现场巡查、协调施工、工程验收、建筑资料整理。,★★★★☆,★★★☆☆ 工程建设阶段工作量增加。 工作环境： 办公室、施工现场。,,建筑工程师 → 高级工程师 → 建设项目负责人。,营房建设单位、军队院校、科研院所。,数学2+物理(497)、数学1(151)、免笔试(25)、管理学(12)、数学3+化学(3)。,,★★★★☆,偏设计与工程管理，适合建筑学专业。,073 助理工程师/工程师（建筑工程方向）
管理技术岗,074,助理工程师/工程师（工程造价方向）,负责工程预算编制、工程造价审核、成本控制及工程结算管理。,预算编制、工程量计算、招投标报价审核、工程结算审核、成本分析。,★★★☆☆,★★★☆☆ 项目结算和预算编制阶段较忙。 工作环境： 办公室办公。,,造价工程师 → 高级造价工程师 → 工程经济管理负责人。,营房建设单位、联勤保障部队、军队院校。,数学2+物理(134)、数学1(88)、管理学(18)、经济学(6)、免笔试(5)。,,★★★★☆,工作稳定，适合工程管理、工程造价专业考生。,074 助理工程师/工程师（工程造价方向）
管理技术岗,075,助理工程师/工程师（营房工程方向）,负责营房建设规划、设施维护、工程改造、基础设施保障及营区建设管理。,营房巡检、维修管理、工程验收、施工协调、设施改造、资料整理。,★★★☆☆,★★☆☆☆ 大型建设项目期间工作增加。 工作环境： 办公室与营区现场相结合。,,营房工程师 → 工程负责人 → 营房建设管理岗位。,联勤保障部队、军事院校、医院。,数学2+物理(76)、数学1(23)、管理学(11)、法学(1)、数学3+化学(1)。,,★★★★☆,后勤工程保障的重要岗位，工作节奏相对稳定。,075 助理工程师/工程师（营房工程方向）
管理技术岗,076,助理工程师/工程师（机电工程方向）,负责机电设备安装、运行维护、设备改造及故障维修管理。,设备巡检、维护保养、故障分析、技术改造、设备验收、运行监测。,★★★★☆,★★★☆☆ 设备检修及重大保障任务期间较忙。 工作环境： 机房、设备间、维修现场。,,机电工程师 → 高级工程师 → 技术负责人。,装备保障单位、医院、军队院校、科研院所。,数学2+物理(78)、数学1(13)、免笔试(4)。,,★★★★☆,适用范围广，是机械类专业的重要报考岗位。,076 助理工程师/工程师（机电工程方向）
管理技术岗,077,助理工程师/工程师（自动化方向）,负责自动化控制系统设计、设备调试、智能控制系统维护及技术升级。,PLC程序调试、自动化设备维护、控制系统优化、设备测试、技术文档编写。,★★★★☆,★★★☆☆ 项目实施和设备调试期间工作较忙。 工作环境： 实验室、设备现场、办公室。,,自动化工程师 → 高级工程师 → 自动化平台主管。,科研院所、装备保障单位、军队院校。,数学2+物理(1157)、数学1(706)、免笔试(336)、数学3+化学(4)、管理学(3)。,,★★★★★,智能装备建设的重要岗位，近年来需求持续增加。,077 助理工程师/工程师（自动化方向）
管理技术岗,078,助理工程师/工程师（测控技术方向）,负责测量测试系统、精密仪器、传感器及测控设备的研发、维护和技术保障。,设备检测、仪器校准、数据采集、精度分析、故障排查、技术改进。,★★★★☆,★★★☆☆ 科研试验、装备测试期间工作较忙。 工作环境： 实验室、测试中心、装备保障单位。,,测控工程师 → 高级工程师 → 测控技术负责人。,科研院所、装备试验基地、军队院校、信息支援部队。,数学2+物理(117)、数学1(33)、免笔试(4)、艺术设计(1)、数学3+化学(1)。,,★★★★☆,专业方向明确，适合测控、仪器仪表类专业考生。,078 助理工程师/工程师（测控技术方向）
管理技术岗,079,助理会计师/会计师,负责单位财务核算、会计核算、报表编制、资金管理、财务监督及会计制度执行，确保各项财务工作依法依规开展。,审核报销凭证、登记会计账簿、编制财务报表、预算执行分析、资金支付审核、固定资产核算、年度决算、配合财务检查及审计。,★★★☆☆,★★★☆☆ 月末、季度末、年终决算及专项检查期间工作量增加，平时工作较规律。 工作环境： 机关办公室办公，以电脑办公为主。,,助理会计师 → 会计师 → 高级会计师 → 财务部门负责人。,军委机关、联勤保障部队、军队医院、军事院校、科研院所、干休所。,会计(1066)、会计学(589)、经济学(57)、审计学(9)、免笔试(6)。,,★★★★★,财经类最热门岗位之一，招聘稳定，发展路径清晰。,079 助理会计师/会计师
管理技术岗,080,助理审计师/审计师,负责财务收支审计、经济责任审计、内部控制评价、专项审计及风险监督。,制定审计计划、开展现场审计、审核财务资料、编写审计报告、督促整改落实、参与专项监督检查。,★★★★☆,★★★★☆ 年度审计、专项审计和巡视检查期间工作较忙。 工作环境： 办公室办公，部分岗位需到基层单位开展现场审计。,,审计师 → 高级审计师 → 审计部门负责人。,军委机关、联勤保障部队、军队医院、军事院校、科研院所。,审计(82)、审计学(27)、数学1(26)、数学2+物理(20)。,,★★★★★,专业性和政策性较强，适合审计专业及财会专业考生。,080 助理审计师/审计师
管理技术岗,081,助理会计师/会计师（预算会计方向）,负责年度预算编制、预算执行分析、预算调整及预算绩效管理。,编制预算、分析预算执行情况、审核预算申请、统计资金使用数据、编制预算分析报告。,★★★☆☆,★★★☆☆ 预算编制和年度决算期间较忙。 工作环境： 机关办公室办公。,,预算会计 → 财务主管 → 财务负责人。,军委机关、联勤保障部队、军队医院、军事院校。,会计(42)、会计学(10)、经济学(3)、审计学(1)、审计(1)。,,★★★★☆,偏预算管理方向，适合财务管理专业考生。,081 助理会计师/会计师（预算会计方向）
管理技术岗,082,助理员/助理会计师（资产管理方向）,负责国有资产登记、资产配置、资产处置、固定资产管理及资产清查工作。,建立资产台账、组织资产盘点、审核资产采购、办理资产调拨、报废审批、统计资产数据。,★★★☆☆,★★☆☆☆ 年度资产盘点期间工作增加。 工作环境： 办公室办公，部分时间需到仓库、设备现场核查资产。,,资产管理员 → 资产管理负责人 → 综合保障管理岗位。,联勤保障部队、军队医院、军事院校、科研院所。,管理学(6)。,,★★★★☆,稳定性较高，兼顾财务和实物资产管理。,082 助理员/助理会计师（资产管理方向）
管理技术岗,083,助理员/助理会计师（经费管理方向）,负责单位经费计划、资金分配、经费审批、资金监管及预算执行监督。,审核经费申请、编制资金计划、统计经费执行情况、资金支付管理、财务分析。,★★★☆☆,★★★☆☆ 年终预算执行阶段工作较忙。 工作环境： 机关办公室办公。,,经费管理员 → 财务负责人 → 财务管理岗位。,军委机关、联勤保障部队、医院、院校。,管理学(84)、会计(38)、会计学(17)、经济学(2)、审计学(1)。,,★★★★☆,偏资金管理方向，工作规律、稳定。,083 助理员/助理会计师（经费管理方向）
管理技术岗,084,助理会计师/助理经济师（税务管理方向）,负责涉税业务管理、税费核算、税务政策执行及税务风险防控。,税务申报、涉税审核、税务咨询、税收政策研究、资料整理、税务检查配合。,★★★☆☆,★★☆☆☆ 整体工作较规律，专项检查期间工作增加。 工作环境： 机关办公室办公。,,税务管理 → 财务主管 → 财务负责人。,军队医院、科研院所、院校、机关单位（招聘相对较少）。,管理学(19)、会计学(1)、会计(1)。,,★★★☆☆,招聘数量相对较少，专业对口性较强。,084 助理会计师/助理经济师（税务管理方向）
管理技术岗,085,助理审计师/审计师（采购审计方向）,负责采购项目全过程监督、采购合同审核、采购资金审计及采购风险控制。,审核采购计划、检查采购流程、分析采购成本、监督合同执行、开展专项审计。,★★★★☆,★★★☆☆ 集中采购和专项检查期间工作量增加。 工作环境： 办公室办公，部分岗位需参与现场核查。,,采购审计师 → 审计负责人 → 综合监督管理岗位。,联勤保障部队、军队医院、军事院校、科研院所。,岗位表未检出稳定对应科目；以具体公告为准。,,★★★★☆,兼具采购和审计双重专业特点，适合审计、财会专业考生。,085 助理审计师/审计师（采购审计方向）
管理技术岗,086,助理馆员/馆员（图书馆方向）,负责图书资源建设、图书采购、编目分类、借阅管理、数字资源建设及读者服务。,图书编目、图书采购、借阅管理、数字图书馆维护、文献检索、阅读推广、资料整理。,★★☆☆☆,★☆☆☆☆ 工作时间规律，基本实行行政班，节假日加班较少。 工作环境： 图书馆、阅览室、办公室。,,馆员 → 副研究馆员 → 研究馆员 → 图书馆负责人。,军队院校、军事科学院、科研院所、机关图书馆。,图书(78)、数学1(35)、管理学(17)、免笔试(8)、数学2+物理(7)。,,★★★★★,工作稳定、压力较小，是文职岗位中节奏较平稳的专业技术岗位。,086 助理馆员/馆员（图书馆方向）
管理技术岗,087,助理馆员/馆员（档案管理方向）,负责档案收集、整理、归档、数字化建设、档案保管及档案利用服务。,档案分类、档案扫描、档案数字化录入、档案借阅管理、档案鉴定、档案移交。,★★☆☆☆,★☆☆☆☆ 档案集中整理期间工作增加，平时较规律。 工作环境： 档案室、办公室。,,馆员 → 档案主管 → 档案部门负责人。,军委机关、军队院校、医院、科研院所、干休所。,档案(146)、管理学(8)、数学1(5)、免笔试(3)、图书(2)。,,★★★★★,稳定性高，适合细心、耐心强的考生。,087 助理馆员/馆员（档案管理方向）
管理技术岗,088,助理编辑/编辑,负责教材、期刊、科研成果、内部出版物的策划、编辑、校对及出版管理。,审稿、编辑加工、文字校对、排版协调、出版计划制定、作者沟通。,★★★☆☆,★★★☆☆ 教材出版、期刊发行期间工作较忙。 工作环境： 办公室办公。,,编辑 → 责任编辑 → 编辑部主任 → 出版负责人。,军队院校、科研院所、出版社、学报编辑部。,新闻(310)、出版(168)、数学1(21)、英语(15)、汉语言文学(10)。,,★★★★☆,文字能力要求高，适合文学、新闻传播类专业。,088 助理编辑/编辑
管理技术岗,089,助理编辑/编辑（出版管理方向）,负责出版项目管理、出版计划制定、版权管理、印刷发行协调及出版质量控制。,制定出版计划、审核出版流程、协调印刷发行、管理版权资料、统计出版数据。,★★★☆☆,★★★☆☆ 出版任务集中时工作量增加。 工作环境： 办公室办公。,,出版管理员 → 出版主管 → 出版机构负责人。,军队出版社、院校出版社、科研院所。,出版(159)、新闻(19)、数学1(9)、免笔试(7)、汉语言文学(6)。,,★★★★☆,偏出版运营管理，岗位数量相对较少。,089 助理编辑/编辑（出版管理方向）
管理技术岗,090,研究实习员/助理研究员（党史研究方向）,负责军队党史、军史资料研究、史料整理、课题研究及党史宣传教育。,查阅文献、整理史料、开展课题研究、撰写研究报告、参与党史教育活动。,★★★☆☆,★★☆☆☆ 科研项目和课题结项期间工作增加。 工作环境： 办公室、档案馆、图书馆。,,研究实习员/助理研究员 → 高级研究岗位（以单位职称评审和岗位设置为准）。,军事科学院、军队院校、党史军史研究机构。,免笔试(26)、社会科学基础理论(18)、法学(15)、历史学(2)、管理学(2)。,,★★★★☆,研究性质较强，适合历史学、党史专业考生。,090 研究实习员/助理研究员（党史研究方向）
管理技术岗,091,助理馆员/馆员（文献管理方向）,负责科研文献、技术资料、数据库资源管理及文献服务保障。,文献检索、数据库维护、资料分类、数字资源建设、文献统计分析。,★★☆☆☆,★☆☆☆☆ 整体工作规律。 工作环境： 图书馆、资料室、办公室。,,文献管理员 → 文献主管 → 信息资源负责人。,科研院所、军队院校、医学研究机构。,图书(5)、数学1(3)、管理学(2)、汉语言文学(1)、数学2+物理(1)。,,★★★★☆,偏科研保障方向，工作节奏稳定。,091 助理馆员/馆员（文献管理方向）
管理技术岗,092,助理编辑/助理记者（新媒体采编方向）,负责官方网站、微信公众号、新媒体平台内容策划、采写编辑、视频制作及运营推广。,新闻采写、图片拍摄、短视频制作、公众号运营、专题策划、数据分析。,★★★★☆,★★★★☆ 重大活动、宣传节点和应急宣传期间工作较忙。 工作环境： 办公室办公，部分时间外出采访拍摄。,,采编 → 编辑 → 新媒体平台主管 → 宣传部门负责人。,军委机关宣传部门、军队院校、医院、科研院所、宣传文化单位。,新闻(81)、英语(4)、汉语言文学(1)、艺术基础综合(1)、管理学(1)。,,★★★★★,近年来需求增长较快，适合新闻传播、网络与新媒体专业考生。,092 助理编辑/助理记者（新媒体采编方向）
管理技术岗,093,助理工程师/助理员/研究实习员（合同法务方向）,负责合同管理、案件处理、法律事务协调、法律风险控制及日常法律服务。,合同起草审核、法律咨询、案件资料整理、制度合法性审查、法律培训、诉讼协调（涉及岗位）。,★★★☆☆,★★★☆☆ 案件办理和专项任务期间工作增加。 工作环境： 办公室办公。,,法务专员 → 法务主管 → 法律事务负责人。,机关单位、科研院所、军队医院、军事院校。,数学2+物理(125)、数学1(43)、管理学(14)、法学(10)、数学3+化学(6)。,,★★★★★,工作内容覆盖面广，是法学专业报考较多的岗位之一。,093 助理工程师/助理员/研究实习员（合同法务方向）
管理技术岗,094,助理翻译/翻译（英语方向）,负责英语文件笔译、会议口译、国际交流保障、外文资料整理及涉外业务翻译，为国际合作、军事交流及科研工作提供语言支持。,翻译文件、会议同传或交传、整理外文资料、编译国际军事信息、审核英文材料、参与涉外接待和交流活动。,★★★☆☆,★★★☆☆ 重大国际交流、会议保障及大型活动期间工作量增加。 工作环境： 办公室办公，部分岗位需参加会议或出差。,,英语翻译 → 高级翻译 → 翻译主管 → 国际合作管理岗位。,军委机关、军事科学院、军队院校、科研院所、信息支援部队。,英语(316)。,,★★★★★,招聘数量最多的外语岗位，适合英语专业及高水平英语人才。,094 助理翻译/翻译（英语方向）
管理技术岗,095,助理翻译/翻译（俄语方向）,负责俄语资料翻译、军事科技文献编译、国际合作交流及俄语口笔译工作。,翻译俄文资料、整理技术文件、会议翻译、国际合作沟通、情报资料编译。,★★★☆☆,★★☆☆☆ 大型涉外任务期间工作增加。 工作环境： 办公室办公，部分岗位需出差。,,俄语翻译 → 高级翻译 → 国际交流负责人。,军事科学院、军队院校、科研院所、机关单位。,俄语(15)。,,★★★★☆,岗位数量相对较少，但竞争压力通常低于英语岗位。,095 助理翻译/翻译（俄语方向）
管理技术岗,096,助理翻译/翻译（日语方向）,负责日语文献翻译、技术资料编译、国际交流及科研资料整理。,翻译科研论文、技术文件、参与国际会议、外文信息收集、资料审核。,★★★☆☆,★★☆☆☆ 科研项目及交流活动期间工作增加。 工作环境： 办公室办公。,,日语翻译 → 高级翻译 → 国际合作岗位。,科研院所、军队院校、军事科学院。,日语(4)。,,★★★★☆,招聘数量较少，适合日语专业毕业生。,096 助理翻译/翻译（日语方向）
